     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      9216,       214,         0,   0.029,pymatching,8e973237393e33c77b5cdbe7ca64ab737e8eb91b40bfe73b2d04043ccf3c6b4a,"{""d"":5,""p"":0.006,""rounds"":5}",
       273,         2,         0,   0.018,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      2048,       211,         0,   0.044,fusion_blossom,6bb49b1d7151167dceb0fa249a2d1adcaa4494ef8a795ca801729b8aaf16dc5e,"{""d"":3,""p"":0.014,""rounds"":3}",
     15360,       124,         0,   0.039,pymatching,78ebf96665eb7355106d8270c09c9d899eaa36f13bf5636be2ce1a88745c4f37,"{""d"":5,""p"":0.004,""rounds"":5}",
       273,        10,         0,   0.034,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
     10240,       249,         0,   0.039,pymatching,8e973237393e33c77b5cdbe7ca64ab737e8eb91b40bfe73b2d04043ccf3c6b4a,"{""d"":5,""p"":0.006,""rounds"":5}",
      1024,         7,         0,   0.050,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,        25,         0,   0.081,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      2048,       209,         0,   0.048,fusion_blossom,6bb49b1d7151167dceb0fa249a2d1adcaa4494ef8a795ca801729b8aaf16dc5e,"{""d"":3,""p"":0.014,""rounds"":3}",
     20480,       144,         0,   0.054,pymatching,78ebf96665eb7355106d8270c09c9d899eaa36f13bf5636be2ce1a88745c4f37,"{""d"":5,""p"":0.004,""rounds"":5}",
     12288,       252,         0,   0.047,pymatching,8e973237393e33c77b5cdbe7ca64ab737e8eb91b40bfe73b2d04043ccf3c6b4a,"{""d"":5,""p"":0.006,""rounds"":5}",
     22528,       253,         0,   0.301,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      2048,       230,         0,   0.066,fusion_blossom,6bb49b1d7151167dceb0fa249a2d1adcaa4494ef8a795ca801729b8aaf16dc5e,"{""d"":3,""p"":0.014,""rounds"":3}",
      5120,        36,         0,   0.016,pymatching,78ebf96665eb7355106d8270c09c9d899eaa36f13bf5636be2ce1a88745c4f37,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,        11,         0,   0.139,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      1297,       122,         0,   0.010,pymatching,760abf564b110623b22640773caba45f9afd986f3bb0886472d0ac0cf756f367,"{""d"":5,""p"":0.01,""rounds"":5}",
      3072,       286,         0,   0.017,pymatching,760abf564b110623b22640773caba45f9afd986f3bb0886472d0ac0cf756f367,"{""d"":5,""p"":0.01,""rounds"":5}",
      1024,       121,         0,   0.068,fusion_blossom,6bb49b1d7151167dceb0fa249a2d1adcaa4494ef8a795ca801729b8aaf16dc5e,"{""d"":3,""p"":0.014,""rounds"":3}",
      2048,       180,         0,   0.019,pymatching,760abf564b110623b22640773caba45f9afd986f3bb0886472d0ac0cf756f367,"{""d"":5,""p"":0.01,""rounds"":5}",
      1024,        28,         0,   0.197,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      1024,        39,         0,   0.226,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      3072,       263,         0,   0.051,pymatching,760abf564b110623b22640773caba45f9afd986f3bb0886472d0ac0cf756f367,"{""d"":5,""p"":0.01,""rounds"":5}",
     23552,       148,         0,   0.109,pymatching,78ebf96665eb7355106d8270c09c9d899eaa36f13bf5636be2ce1a88745c4f37,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,         5,         0,   0.110,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      2048,       179,         0,   0.017,pymatching,760abf564b110623b22640773caba45f9afd986f3bb0886472d0ac0cf756f367,"{""d"":5,""p"":0.01,""rounds"":5}",
       273,        19,         0,   0.073,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
         1,         0,         0,   0.001,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
      2320,       109,         0,   0.013,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
      3072,       140,         0,   0.021,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
      2321,       309,         0,   0.015,pymatching,1c61726f4ad9c12650c3ca2cb2e1a87865263a79a366a04fb9c2e0489b9d4e22,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,         6,         0,   0.068,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
